language;endonym;description;world_region;country;global_speakers;primary_location;add_neighborhoods;latitude;longitude;size;status;glottocode;lg_family;iso_639_3
Central Malay;Besemah;New York's relatively new Indonesian community is several thousand strong and growing, with the largest concentration in Elmhurst, and the Al-Hikmah mosque in Astoria serving as an important community center for Indonesian Muslims (while churches serve an analogous role for Christians). Indonesian serves as a lingua franca to which all Indonesians are increasingly shifting, but the New York community is highly multilingual with numerous speakers of Javanese, Manado Malay, Sundanese, and a dozen other languages.;Southeastern Asia;Indonesia;400000;East Village;;4.072.771.100;-7.397.809.900;Small;Residential;cent2053;Austronesian;pse
Chadian Arabic;لهجة تشادية;"A broad representation of the world's Arabic varieties, as used by Muslims, Christians, and Jews from West Africa to Iraq, can be found across the metropolitan area — although many of them are mutually unintelligible with each other, speakers are able to communicate in the Modern Standard Arabic known as al-fuṣḥā (""the purest"", and there is often widespread familiarity with larger varieties like Egyptian Arabic. In the second half of the 20th century, what had been primarily a Levantine Arabic speaking community (by then mostly in Brooklyn) was joined by significant numbers of Egyptian Arabic and Yemeni Arabic speakers, as well as smaller numbers of many other varieties found throughout the city. Significant Arabic-speaking areas include Bay Ridge, Astoria, the Bronx (for West African Arabic speakers), Yonkers, and Paterson, New Jersey. Classical (or Qu'ranic) Arabic flourishes widely at mosques like the Islamic Cultural Center on the Upper East Side and the Jamaica Muslim Center in Queens as well schools like Al-Noor in Brooklyn. Jewish varieties of Arabic, often linked to the local variety of the particular country of origin, are still spoken to some degree among the sizeable Middle Eastern and North African Jewish communities in the city, especially in Brooklyn.";Middle Africa;Chad;1757300;Murray Hill;;4.074.792.000;-7.397.906.600;Smallest;Community;chad1249;Afro-Asiatic;shu
Chak;Chak;The Chittagong Hill Tracts (CHT) region of Bangladesh is home to many Indigenous groups (collectively called the Jumma), speaking at least 12 languages and practicing a number of religions, including traditional animistic religion, Buddhism, Hinduism, and Christianity, as opposed to the Islam widespread in the rest of Bangladesh. While Bengali grows increasingly dominant as the national language, various factors have caused Indigenous people from the CHT to emigrate since the 1960s, including the construction of the Kaptai Dam, which destroyed the homes and farmland of tens of thousands, and an assimilationist political regime that favored Bengali culture and Islam. These refugees have consequently established communities in other areas of Bangladesh and overseas, and even as far as Jackson Heights, Queens, where the American Jumma Council unifies speakers of languages like Chak, Chakma, Marma, Tanchangya, and Tripuri. Fewer than 100 individuals may comprise the Jumma community in New York, most of whom arrived after 2010, practice Buddhism, and live in neighborhoods from Woodside to Jamaica. The council organizes frequent social and cultural events, with goals to solidify the community and ease transnational adapation for newcomers.;Southern Asia;Bangladesh, Myanmar;4000;Jackson Heights;;4.075.457.600;-7.389.183.000;Smallest;Residential;chak1270;Sino-Tibetan;chk
Chakhar Mongolian;Цахар;Byaambakhuu Darinchuluun of the Mongolian Heritage Foundation estimates that there are some 50 people from Southern (or Inner) Mongolia, in what is now China, living in New York. Some live in Sunset Park and speak the Chakhar variety of Mongolian. The Southern Mongolian Human Rights Information Center advocates for the rights of Southern Mongolians, who live primarily in China's Inner Mongolia province and are currently struggling for the right to use their mother tongue in education.;Eastern Asia;China, Mongolia;;Sunset Park;;4.064.087.798;-7.400.461.730;Smallest;Residential;chah1241;Mongolic;mvf
Chakma;Changma Vaj;The Chittagong Hill Tracts (CHT) region of Bangladesh is home to many Indigenous groups (collectively called the Jumma), speaking at least 12 languages and practicing a number of religions, including traditional animistic religion, Buddhism, Hinduism, and Christianity, as opposed to the Islam widespread in the rest of Bangladesh. While Bengali grows increasingly dominant as the national language, various factors have caused Indigenous people from the CHT to emigrate since the 1960s, including the construction of the Kaptai Dam, which destroyed the homes and farmland of tens of thousands, and an assimilationist political regime that favored Bengali culture and Islam. These refugees have consequently established communities in other areas of Bangladesh and overseas, and even as far as Jackson Heights, Queens, where the American Jumma Council unifies speakers of languages like Chak, Chakma, Marma, Tanchangya, and Tripuri. Fewer than 100 individuals may comprise the Jumma community in New York, most of whom arrived after 2010, practice Buddhism, and live in neighborhoods from Woodside to Jamaica. The council organizes frequent social and cultural events, with goals to solidify the community and ease transnational adapation for newcomers.;Southern Asia;Bangladesh, India;378000;Jackson Heights;;4.075.472.200;-7.389.306.800;Smallest;Residential;chak1266;Indo-European;ccp
Chaldean Neo-Aramaic;ܣܘܼܪܲܝܬ;A small number of Chaldean Aramaic speakers have come to the New York area in recent years from the Mosul Plain in Iraq. Read more here.;Western Asia;Iraq;241610;Bay Ridge;;4.062.701.100;-7.402.639.000;Smallest;Residential;cha1275;Afro-Asiatic;cld
Chamling;किराती-रोदुङ;A large event held by the Kirat Rai Society of America drew some 300 people in December 2019, with both a large number of Rai and a large number of Nepali New Yorkers from other ethnolinguistic groups. The Kirat Rai Society of America is one organization representing members of several dozen different ethnolinguistic groups of eastern Nepal considered Indigenous to the region, but not Sunwar, Limbu, or Bhutanese Rai, who have their own organizations, or Yakkha, of whom there may be a small number. Almost all groups, after centuries of pressure, are shifting to Nepali, with the largest Rai language Bantawa sometimes also serving as a kind of common language. Estimates of the New York Rai community, centered in Queens, ranged from a few hundred to as many as 1,000. Besides Bantawa, of which there may be dozens of speakers, there are a significant number of Chamling speakers, some Khaling, Nachhiring, and Sampang speakers and reportedly a few speakers of Kulung and Thulung.;Southern Asia;Nepal;77000;Jackson Heights;;4.074.973.300;-7.389.130.400;Smallest;Residential;caml1239;Sino-Tibetan;rab
Chamorro;Chamoru;Compared to larger communities elsewhere, especially Hawaii and California, the presence of Chamorro speakers in the United States territory of Guam and the Northern Mariana Islands (a U.S. commonwealth) is relatively limited, but there are speakers, including a presence at the United Nations.;Micronesia;United States;64300;East Midtown;;4.075.493.000;-7.396.859.900;Smallest;Community;cham1312;Austronesian;cha
Changzhounese;常州话;Most Chinese speakers in the city, from the first half of the 19th century until the second half of the 20th, spoke southern Chinese varieties, notably forms of Taishanese and Cantonese, but significant numbers of speakers of northern Chinese varieties including official Mandarin, began arriving especially after the Second World War. Many were from Taiwan and established a community in and around Flushing, where other Chinese immigrants from all over gradually joined them. Today, with the largest Chinese population outside of Asia, the entire metro area is home to an extraordinary variety of Sinitic (Chinese) languages even beyond the most widely spoken (Mandarin, Cantonese, Fujianese, Taishanese, Wenzhounese, Hakka). Some represent distinct but related varieties of these (e.g. Northern Fujianese, Taiwanese, Teochew, and Hainanese are all part of the Min group, with the Fuzhou variety of Fujianese by far the most common in New York) but others are highly distinct. Reports about other smaller Chinese languages communities in the city are scarce, but within the Mandarin subgroup there seem to be substantial numbers of speakers of Northeastern Mandarin and Sichuanese, and within the Wu subgroup substantial numbers of speakers of Shanghainese and Changzhounese. There are an unknown number of speakers of Gan (Jiangxi) and Xiang (Hunan) and probably many other varieties, likely not living as distinct communities, but within a larger Chinese matrix where Mandarin (as in China itself) is increasingly the lingua franca and valorized standard.;Eastern Asia;China;81501290;Flushing;;4.075.435.000;-7.382.104.300;Small;Residential;pili1238;Sino-Tibetan;wuu
Chantyal;छन्त्याल;Speakers of Chantyal from the Himalayan zone in northern Nepal have a presence among all the other Himalayan groups in Queens — the last name Chantyal, as with some other groups from Nepal, being one indication — and an association, or samaj, has been launched by individuals living in and around Maryland.;Southern Asia;Nepal;4750;Elmhurst;Elmhurst;4.074.681.700;-7.389.282.500;Smallest;Residential;chan1310;Sino-Tibetan;chx
Chaouia;ⵜⴰⵛⴰⵡⵉⵜ;According to linguist Soubeika Bahri, several languages spoken by the Amazigh (or Berber) people of North Africa are represented in the city, with a notable concentration living and working within the North African community along Steinway Street in Astoria (sometimes referred to as Little Egypt) and other speakers in New Jersey. Among the languages represented with at least a small number of speakers are Chaouia, Kabyle, Siwi, Tamazight, Tarifit, Tashelhyt, and Zuwara.;Northern Africa;Algeria, Tunisia;2178100;Astoria;;4.076.828.700;-7.391.140.300;Smallest;Residential;tach1249;Afro-Asiatic;shy
Chavacano;Chavacano;Some of the earliest Filipino communities in the city formed around port areas and military installations, such as the Brooklyn Navy Yard and later Governors Island. Today, a section of Roosevelt Avenue in Woodside is the major center for Tagalog speakers, and speakers of other languages of the Philippines, both for New York City and for the entire U.S. east of the Mississippi. There are other concentrations in every borough — often formed near hospitals where Filipina women have been employed in healthcare work — and individual speakers throughout the city. Among the largest of the other communities are Cebuano and Ilocano speakers, and a distinctive Philippine English is also spoken by many. According to 2015-2019 American Community Survey data, 7,987 Tagalog speakers also live in Jersey City, a major community.;Southeastern Asia;Philippines;431000;Woodside;;4.074.640.300;-7.390.618.500;Smallest;Residential;chav1241;Indo-European;cbk
Chechen;Нохчийн;In recent years, small numbers of individuals and families from the highly multilingual Caucasus have come to New York, settling primarily in and around the post-Soviet world of Brighton Beach, though not much information is known. Besides speakers of the major national languages, there are reported to be some Lezgis (some apparently connected with the city's Azeri community), Avars, Chechens, and Ingush. At least for short periods there have also been speakers of Haput and Lak in the city. An older North Caucasian community, where Circassians are most numerous, exists in Paterson, New Jersey.;Eastern Europe;Russia;1502350;Brighton Beach;;4.057.908.400;-7.396.567.400;Smallest;Residential;chec1245;Nakh-Daghestanian;che
Cherepon;Cherepon;"New York is home to a large and growing Ghanaian community centered on ""Little Accra"" in the Bronx stretching from the Grand Concourse up to Tracey Towers, with Ghanaian English and Twi serving as widely-known lingua francas. Ashanti, Akuapem (Twi), and Fante are all considered mutually intelligible varieties of Akan. Ghanaian New Yorkers from Accra, or who spent significant time in Accra, may be Ga speakers, and in the Bronx community there are also speakers of smaller languages such as Dagaare and Dagbani. The first wave of Ghanaians came to the city after the coup in 1966, with some working with the Black Star Line (Ghana Shipping Company) as seamen, and a large number arriving starting in the 1980s. There are now smaller communities in Brooklyn, Queens, Staten Island, New Jersey, and Westchester. Those from northern Ghana may be part of the Yankasa Association, based in the Bronx. Records indicate that many of the enslaved Africans brought to New York in the 17th and 18th centuries may have been speakers of Akan varieties.";Western Africa;Ghana;132000;Mount Hope;;4.084.835.400;-7.390.834.700;Smallest;Residential;cher1271;Atlantic-Congo;cpn
Cherokee;ᏣᎳᎩ;Cherokee people and people with Cherokee ancestry and roots likely have a long history in New York, but published information is scarce. Some undoubtedly have had knowledge of the Cherokee language, which is being revived in North Carolina and elsewhere and has a famous syllabary writing system, and there have been efforts to teach Cherokee in New York City.;Northern America;United States;1520;Chinatown;;4.071.568.600;-7.399.334.300;Smallest;Community;cher1273;Iroquoian;chr
Chewa;Chinyanja;A small community of Zambian students and professionals live in and around New York, with the Zambian UN Mission one focal point and organizations like the Tri-State Association of Zambians and the Organization of Zambians Abroad. Many speak the official language Chewa (or Nyanja) or Bemba, a lingua franca in northeast Zambia.;Eastern Africa;Malawi, Zambia;9690520;East Midtown;;4.075.193.900;-7.396.521.200;Smallest;Community;chew1246;Atlantic-Congo;nya
Chiga;Rukiga;One Ugandan staffer working at the United Nations and living on Roosevelt Island was reported to speak Chiga, from the region of Kabale near the border with Rwanda and reportedly mutually intelligible with Kinyarwanda.;Eastern Africa;Uganda;1600000;Roosevelt Island;;4.076.459.200;-7.394.706.900;Smallest;Residential;chig1238;Atlantic-Congo;cgg
Chilean Spanish;Español Chileno;New York City is home to a tremendous diversity of Spanish varieties, largely mutually intelligible but highly distinctive along regional, ethnic, and local lines — for this map, as among speakers themselves, national distinctions (e.g. Peruvian Spanish, Colombian Spanish) are used even though these do not completely capture the nature of the diversity. Many early Spanish-speaking New Yorkers were Galicians or Castilians living in Manhattan's Little Spain in today's Chelsea or Brooklyn Heights, connected to the port or cigar-making;;;;;;;;;;;;
Chinantec;Tsa Jujmi;While not as numerous in New York as some other Indigenous Mexican groups, there have been reports of individual speakers of Chinantec — or of Chinantecan languages, because the group is highly internally diverse — living in Mexican areas within the city.;Central America;Mexico;130000;Borough Park;;4.064.522.300;-7.399.564.700;Smallest;Residential;chin1484;Otomanguean;
Chinantec;Tsa Jujmi;While not as numerous in New York as some other Indigenous Mexican groups, there have been reports of individual speakers of Chinantec — or of Chinantecan languages, because the group is highly internally diverse — living in Mexican areas within the city.;Central America;Mexico;130000;Elm Park;;4.063.582.800;-7.413.536.500;Smallest;Residential;chin1484;Otomanguean;
Chiricahua Apache;Ndee Biyáti';Artist Jason Lujan is a speaker of Chiricahua Apache, and artist Maria Hupfield is an Anishinaabemowin speaker — they were married and living in Crown Heights as of 2017.;Northern America;United States;1500;Crown Heights;;4.067.352.700;-7.395.104.300;Smallest;Residential;mesc1238;Athabaskan-Eyak-Tlingit;apm
Chittagonian;চাটগাঁইয়া;Sometimes considered varieties of Bengali, to which they are related but with which they are not necessarily mutually intelligible, Rangpuri, Sandwippa, Noakhailla, and Chittagonian are all significant languages of Bangladesh spoken in their respective regions. While Bengali may be used as a lingua franca with other Bangladeshis, many speakers may use these at home or within their own communities, represented by organizations such as the Rangpur Zilla in Ozone Park, and the Chittagong Association, Sandwip Association, and Greater Noakhali Association (all in Brooklyn).;Southern Asia;Bangladesh;13000000;Kensington;;4.064.452.800;-7.398.027.900;Medium;Residential;chit1275;Indo-European;ctg
Chocha-ngacha;ཁྱོད་ཅ་ང་ཅ་ཁ་;One community member estimates that as many as 1,000 people from Bhutan are now in the city, though it is unclear whether or not this includes the Nepali-speaking Lhotsampa people who have fled Bhutan as refugees and may not be Dzongkha speakers. Besides Dzongkha, the national language, the most widely spoken language among non-Lhotsampa Bhutanese is Sharchop, but there are also a small number of speakers of Bumthang, Kurtöp, Chocha-ngacha, and probably other languages of Bhutan. The largest concentration is in Sunnyside as well as Astoria and Elmhurst, near other Himalayans, but a small percentage are in Brooklyn and scattered individuals in the Bronx and Westchester and likely elsewhere.;Southern Asia;Bhutan;20000;Sunnyside;;4.074.154.800;-7.391.792.400;Smallest;Residential;choc1275;Sino-Tibetan;cgk
Chuj;Chuj;At least one speaker of the Mayan language Chuj, speaking the variety from San Mateo Ixtatan in Guatemala, lives in the Bronx and works as a Spanish-Chuj interpreter by telephone. While there may be other Chuj speakers in the New York area as well, significant numbers have settled in recent decades in the southeastern U.S.;Central America;Guatemala;61630;Kingsbridge;;4.086.804.736;-7.389.293.011;Smallest;Residential;chuj1250;Mayan;cac
Church Slavonic;црькъвьнословѣньскъ;This Russian Orthodox church was originally built by East New York's Belarusian community but has since revived by a more recent wave of Russian speakers in Brooklyn who are returning to the religion.;Eastern Europe;Russia;;East New York;;4.067.316.400;-7.389.572.300;Smallest;Liturgical;chur1257;Indo-European;chu
Church Slavonic;црькъвьнословѣньскъ;Within a few blocks of each other on the Upper East Side, two historic Russian Orthodox Churches serve a community which includes descendants of White Russian exiles from the 1917 Russian Revolution. Both use the liturgical language of Church Slavonic, but the one on 93rd represents (and is the center of) the Russian Orthodox Church Outside of Russia (ROCOR) while the other, on 97th, is part of the Russia-centered church.;Eastern Europe;Russia;;Upper East Side;;4.078.482.900;-7.395.421.100;Medium;Liturgical;chur1257;Indo-European;chu
Chuukese;Chuuk;Chuukese people account for roughly 50% of the Micronesian population, constituting the nation's largest ethnic group. The first group of Micronesians to arrive in New York, largely students, were Chuukese speakers. Only a handful lived in the city through the 60s and 70s, but with the 1986 Compact of Free Association between the Federated States of Micronesia (FSM) the U.S. loosened travel restrictions, and some Chuukese moved to New York for periods of extended work and even permanent residence. While Albany and areas of Connecticut hold tight-knit Chuukese communities of 200+ people, NYC's Micronesian community remains spread out and small, with under 10 speakers, according to an estimate from one community member who works at the United Nations.;Micronesia;Micronesia;100090;Murray Hill;;4.074.941.100;-7.397.227.300;Smallest;Community;chuu123;Austronesian;chk
Chuvash;Чӑвашла;One young Chuvash professional, living in Harlem, reported knowing of approximately 20 Chuvash people in the city, though he estimated that only a few speak the language. Most would likely be in Brighton Beach.;Eastern Europe;Russia;1282270;Brighton Beach;;4.057.815.800;-7.395.853.000;Smallest;Residential;chuv1255;Turkic;chv
Cilentano;Cilendano;Cilentano varieties from the Italian region of Campania, including parts of the province of Salerno, are spoken by a number of different communities in New York, including those with roots in Sacco (with the Associazione Sacchesi D'America in Whitestone), Sanza (with the Society-St Mary of the Snow in Williamsburg), and Caggiano (with the Association Caggianesi D’America in Gravesend).;Southern Europe;Italy;250000;Gravesend;;4.059.926.696;-7.397.477.267;Small;Residential;;Indo-European;
Cilentano;Cilendano;Cilentano varieties from the Italian region of Campania, including parts of the province of Salerno, are spoken by a number of different communities in New York, including those with roots in Sacco (with the Associazione Sacchesi D'America in Whitestone), Sanza (with the Society-St Mary of the Snow in Williamsburg), and Caggiano (with the Association Caggianesi D’America in Gravesend).;Southern Europe;Italy;250000;Whitestone;;4.078.948.600;-7.381.661.000;Small;Residential;;Indo-European;
Cilentano;Cilendano;Cilentano varieties from the Italian region of Campania, including parts of the province of Salerno, are spoken by a number of different communities in New York, including those with roots in Sacco (with the Associazione Sacchesi D'America in Whitestone), Sanza (with the Society-St Mary of the Snow in Williamsburg), and Caggiano (with the Association Caggianesi D’America in Gravesend).;Southern Europe;Italy;250000;Williamsburg;;4.071.725.200;-7.394.453.000;Small;Residential;;Indo-European;
Classical Arabic;الفصحى;"A broad representation of the world's Arabic varieties, as used by Muslims, Christians, and Jews from West Africa to Iraq, can be found across the metropolitan area — although many of them are mutually unintelligible with each other, speakers are able to communicate in the Modern Standard Arabic known as al-fuṣḥā (""the purest"", and there is often widespread familiarity with larger varieties like Egyptian Arabic. In the second half of the 20th century, what had been primarily a Levantine Arabic speaking community (by then mostly in Brooklyn) was joined by significant numbers of Egyptian Arabic and Yemeni Arabic speakers, as well as smaller numbers of many other varieties found throughout the city. Significant Arabic-speaking areas include Bay Ridge, Astoria, the Bronx (for West African Arabic speakers), Yonkers, and Paterson, New Jersey. Classical (or Qu'ranic) Arabic flourishes widely at mosques like the Islamic Cultural Center on the Upper East Side and the Jamaica Muslim Center in Queens as well schools like Al-Noor in Brooklyn. Jewish varieties of Arabic, often linked to the local variety of the particular country of origin, are still spoken to some degree among the sizeable Middle Eastern and North African Jewish communities in the city, especially in Brooklyn.";Western Asia;Egypt, Yemen;;East Harlem;;4.078.541.900;-7.394.870.700;Large;Liturgical;;Afro-Asiatic;ara
Classical Arabic;الفصحى;"A broad representation of the world's Arabic varieties, as used by Muslims, Christians, and Jews from West Africa to Iraq, can be found across the metropolitan area — although many of them are mutually unintelligible with each other, speakers are able to communicate in the Modern Standard Arabic known as al-fuṣḥā (""the purest"", and there is often widespread familiarity with larger varieties like Egyptian Arabic. In the second half of the 20th century, what had been primarily a Levantine Arabic speaking community (by then mostly in Brooklyn) was joined by significant numbers of Egyptian Arabic and Yemeni Arabic speakers, as well as smaller numbers of many other varieties found throughout the city. Significant Arabic-speaking areas include Bay Ridge, Astoria, the Bronx (for West African Arabic speakers), Yonkers, and Paterson, New Jersey. Classical (or Qu'ranic) Arabic flourishes widely at mosques like the Islamic Cultural Center on the Upper East Side and the Jamaica Muslim Center in Queens as well schools like Al-Noor in Brooklyn. Jewish varieties of Arabic, often linked to the local variety of the particular country of origin, are still spoken to some degree among the sizeable Middle Eastern and North African Jewish communities in the city, especially in Brooklyn.";Western Asia;Egypt, Yemen;;Hunts Point;;4.081.390.400;-7.388.171.400;Medium;Liturgical;;Afro-Asiatic;ara
Classical Arabic;الفصحى;"A broad representation of the world's Arabic varieties, as used by Muslims, Christians, and Jews from West Africa to Iraq, can be found across the metropolitan area — although many of them are mutually unintelligible with each other, speakers are able to communicate in the Modern Standard Arabic known as al-fuṣḥā (""the purest"", and there is often widespread familiarity with larger varieties like Egyptian Arabic. In the second half of the 20th century, what had been primarily a Levantine Arabic speaking community (by then mostly in Brooklyn) was joined by significant numbers of Egyptian Arabic and Yemeni Arabic speakers, as well as smaller numbers of many other varieties found throughout the city. Significant Arabic-speaking areas include Bay Ridge, Astoria, the Bronx (for West African Arabic speakers), Yonkers, and Paterson, New Jersey. Classical (or Qu'ranic) Arabic flourishes widely at mosques like the Islamic Cultural Center on the Upper East Side and the Jamaica Muslim Center in Queens as well schools like Al-Noor in Brooklyn. Jewish varieties of Arabic, often linked to the local variety of the particular country of origin, are still spoken to some degree among the sizeable Middle Eastern and North African Jewish communities in the city, especially in Brooklyn.";Western Asia;Egypt, Yemen;;Jamaica Hills;;4.071.255.100;-7.379.581.800;Large;Liturgical;;Afro-Asiatic;ara
Classical Arabic;الفصحى;"A broad representation of the world's Arabic varieties, as used by Muslims, Christians, and Jews from West Africa to Iraq, can be found across the metropolitan area — although many of them are mutually unintelligible with each other, speakers are able to communicate in the Modern Standard Arabic known as al-fuṣḥā (""the purest"", and there is often widespread familiarity with larger varieties like Egyptian Arabic. In the second half of the 20th century, what had been primarily a Levantine Arabic speaking community (by then mostly in Brooklyn) was joined by significant numbers of Egyptian Arabic and Yemeni Arabic speakers, as well as smaller numbers of many other varieties found throughout the city. Significant Arabic-speaking areas include Bay Ridge, Astoria, the Bronx (for West African Arabic speakers), Yonkers, and Paterson, New Jersey. Classical (or Qu'ranic) Arabic flourishes widely at mosques like the Islamic Cultural Center on the Upper East Side and the Jamaica Muslim Center in Queens as well schools like Al-Noor in Brooklyn. Jewish varieties of Arabic, often linked to the local variety of the particular country of origin, are still spoken to some degree among the sizeable Middle Eastern and North African Jewish communities in the city, especially in Brooklyn.";Western Asia;Egypt, Yemen;;Sunset Park;;4.066.294.300;-7.399.513.800;Large;Liturgical;;Afro-Asiatic;ara
Classical Armenian;Գրաբար;The earliest substantial Little Armenia in Manhattan, Murray Hill is today still home to three major Armenian churches representing some of these complex, historically rooted denominational differences, as well as the famous food emporium Kalustyan's. St. Sarkis Armenian Apostolic Church of Long Island is a major institution serving the Armenian community in eastern Queens.;Western Asia;Armenia;;Douglaston-Little Neck;;4.077.233.400;-7.374.762.200;Medium;Liturgical;clas1249;Indo-European;xcl
Classical Armenian;Գրաբար;The earliest substantial Little Armenia in Manhattan, Murray Hill is today still home to three major Armenian churches representing some of these complex, historically rooted denominational differences, as well as the famous food emporium Kalustyan's. St. Sarkis Armenian Apostolic Church of Long Island is a major institution serving the Armenian community in eastern Queens.;Western Asia;Armenia;;Murray Hill;;4.074.520.100;-7.397.534.700;Medium;Liturgical;clas1249;Indo-European;xcl
Classical Latin;Latina;The Paideia Institute, based in New York City, is an organization devoted to spoken Latin and Ancient Greek, producing diverse materials and hosting large events (including the annual Living Latin) not only about but actually in those languages.;Southern Europe;Italy;;SoHo;;4.072.328.100;-7.400.639.700;Smallest;Reviving;impe1234;Indo-European;lat
Classical Tibetan;ཆོས་སྐད་;Tibetan-speaking New Yorkers have come from across the culturally and religiously Tibetan world, including many refugees who immigrate via India and Nepal. There are some institutions more oriented towards Westerners with an interest in Tibet, such as Tibet House in Manhattan, but most Tibetans have settled in the Queens neighborhoods of Astoria, Sunnyside, Woodside, Jackson Heights, Elmhurst, and Corona, with smaller numbers in Brooklyn, the Bronx, and others now branching out elsewhere — with important religious centers also upstate in Woodstock and Walden. (ELA recognizes that the Chinese government's rule in Tibet is disputed.);Eastern Asia;China, India;1186710;DUMBO;Flatbush;4.070.198.200;-7.398.296.100;Small;Community;tibe1272;Sino-Tibetan;bod
Classical Tibetan;ཆོས་སྐད་;Tibetan-speaking New Yorkers have come from across the culturally and religiously Tibetan world, including many refugees who immigrate via India and Nepal. There are some institutions more oriented towards Westerners with an interest in Tibet, such as Tibet House in Manhattan, but most Tibetans have settled in the Queens neighborhoods of Astoria, Sunnyside, Woodside, Jackson Heights, Elmhurst, and Corona, with smaller numbers in Brooklyn, the Bronx, and others now branching out elsewhere — with important religious centers also upstate in Woodstock and Walden. (ELA recognizes that the Chinese government's rule in Tibet is disputed.);Eastern Asia;China, India;1186710;Elmhurst;;4.074.473.300;-7.388.990.900;Medium;Liturgical;tibe1272;Sino-Tibetan;bod
Tibetan;བོད་སྐད་;Tibetan-speaking New Yorkers have come from across the culturally and religiously Tibetan world, including many refugees who immigrate via India and Nepal. There are some institutions more oriented towards Westerners with an interest in Tibet, such as Tibet House in Manhattan, but most Tibetans have settled in the Queens neighborhoods of Astoria, Sunnyside, Woodside, Jackson Heights, Elmhurst, and Corona, with smaller numbers in Brooklyn, the Bronx, and others now branching out elsewhere — with important religious centers also upstate in Woodstock and Walden. (ELA recognizes that the Chinese government's rule in Tibet is disputed.);Eastern Asia;China, India;1186710;Flatiron;;4.073.713.000;-7.399.455.100;Small;Liturgical;tibe1272;Sino-Tibetan;bod
Colombian Spanish;Español Colombiano;Large numbers of Colombians immigrated New York, especially the area around Jackson Heights dubbed Chapinero after a fashionable Bogota neighborhood, starting in the 1960s and 70s. Today Queens' Centro Civico Colombiano remains an important hub, but newer communities have also emerged in College Point;;;;;;;;;;;;
South America;Colombia;49650000;College Point;;4.078.314.359;-7.384.578.102;Medium;Residential;;Indo-European;spa;;;
South America;Colombia;49650000;Elizabeth (NJ);;4.066.926.188;-7.421.780.995;Medium;Residential;;Indo-European;spa;;;
South America;Colombia;49650000;Elmhurst;Corona; Jackson Heights;" Woodside""";4.074.212.500;-7.387.438.300;Largest;Residential;;Indo-European;spa;
Comorian;Shikomori;Comorian, a Bantu language sometimes linked to Swahili, is the official and principal language of Comoros, an archipelago nation off the coast of East Africa. The small Comorian presence in New York is connected to the country's United Nations Mission.;Eastern Africa;Comoros;1100000;East Midtown;;4.075.259.800;-7.396.628.200;Smallest;Community;como1260;Atlantic-Congo;
Coptic;ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ;Coptic, the last descendant of the Egyptian language of the pharaohs, serves as the liturgical language for Egyptian Christians who now speak Egyptian Arabic in daily life. Still spoken in daily life possibly through the 17th century, it lives on today across the metropolitan area at Coptic Orthodox churches in Jersey City, Queens, Brooklyn, Staten Island, and elsewhere.;Northern Africa;Egypt, Sudan;;Dyker Heights;;4.062.751.000;-7.400.676.300;Small;Liturgical;copt1239;Afro-Asiatic;cop
Coptic;ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ;Coptic, the last descendant of the Egyptian language of the pharaohs, serves as the liturgical language for Egyptian Christians who now speak Egyptian Arabic in daily life. Still spoken in daily life possibly through the 17th century, it lives on today across the metropolitan area at Coptic Orthodox churches in Jersey City, Queens, Brooklyn, Staten Island, and elsewhere.;Northern Africa;Egypt, Sudan;;Jersey City (NJ);;4.072.811.500;-7.406.739.800;Medium;Liturgical;copt1239;Afro-Asiatic;cop
Coptic;ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ;Coptic, the last descendant of the Egyptian language of the pharaohs, serves as the liturgical language for Egyptian Christians who now speak Egyptian Arabic in daily life. Still spoken in daily life possibly through the 17th century, it lives on today across the metropolitan area at Coptic Orthodox churches in Jersey City, Queens, Brooklyn, Staten Island, and elsewhere.;Northern Africa;Egypt, Sudan;;Ridgewood;;4.070.604.764;-7.390.770.901;Small;Liturgical;copt1239;Afro-Asiatic;cop
Cretan Greek;Κρητική;Astoria is often cited as the largest and most diverse Greek community outside of Greece, with a tremendous range of cultural, political, religious and other institutions. Astoria became pre-eminent beginning in the 1960s, with significant communities of Pontic Greeks, Cretans, and Cypriots (all speaking distinctive varieties of Greek) as well as a galaxy of organizations based on people's islands or towns of origin—from the Amorgos Society (from the island of Amorgos in the Cyclades) to the Thessalonikian Society (for those from that major city in the north of Greece). In recent decades, significant Greek-speaking communities have also taken root across eastern Queens in neighborhoods such as Auburndale and Bayside, among others, with churches, schools, restaurants, and other institutions to match. Others have moved even further east to Nassau and Suffolk counties.;Southern Europe;Greece;634930;Astoria;;4.077.469.100;-7.391.025.200;Medium;Residential;cret1244;Indo-European;
Crimean Tatar;Qırımtatarca;In Borough Park, a community of as many as 5,000 Crimean Tatars maintains its own mosque/community institution, where most speak the Istanbul variety of Turkish today, having come as refugees from the Crimean Peninsula via Eskişehir. The New York Crimean Tatar Ensemble preserves and develops the community's music.;Eastern Europe;Ukraine, Turkey, Uzbekistan;541540;Borough Park;;4.063.955.600;-7.399.420.600;Medium;Residential;crim1257;Turkic;crh
